intent,utterance
ask_clarify,again clarify it to me please
ask_clarify,again clarify me on your answers
ask_clarify,again clarify me on your answers please
ask_clarify,again clarify your answers please
ask_clarify,again elaborate
ask_clarify,again elaborate me on what you have just said please
ask_clarify,again elaborate your answer
ask_clarify,again explain me about your answers please
ask_clarify,again explain me about your response
ask_clarify,again explain me on what you have said please
ask_clarify,again explain to me please
ask_clarify,again rephrase me about your answer please
ask_clarify,again rephrase to me please
ask_clarify,again rephrase what you just said now please
ask_clarify,again rephrase your answer to me please
ask_clarify,can not get last sentence
ask_clarify,can not get this
ask_clarify,can not get what you have just said
ask_clarify,can not get your response
ask_clarify,can not get your words
ask_clarify,can not understand your answers
ask_clarify,can you again clarify what you've said please
ask_clarify,can you again rephrase me on your answers
ask_clarify,can you clarify further on this
ask_clarify,can you clarify further on your words please
ask_clarify,can you clarify me about it further please
ask_clarify,can you clarify more on that
ask_clarify,can you clarify more on what you've said to me please
ask_clarify,can you elaborate further on this to me please
ask_clarify,can you elaborate me further on what you just said please
ask_clarify,can you elaborate me on your answers again
ask_clarify,can you elaborate that further please
ask_clarify,can you explain me further on what you have just said
ask_clarify,can you explain me further on what you just said
ask_clarify,can you explain me further on what you've said please
ask_clarify,can you explain me more on your answer
ask_clarify,can you explain once again
ask_clarify,can you further clarify me on it
ask_clarify,can you further clarify me on that please
ask_clarify,can you further explain me on it please
ask_clarify,can you once again clarify me on that please
ask_clarify,can you once again clarify me on your words please
ask_clarify,can you please again clarify
ask_clarify,can you please again rephrase to me
ask_clarify,can you please clarify me about this further
ask_clarify,can you please clarify me further on what you've just said
ask_clarify,can you please clarify me more on your answer
ask_clarify,can you please clarify me more on your answers
ask_clarify,can you please clarify once again
ask_clarify,can you please explain me about what you said now further
ask_clarify,can you please explain me more on your answer
ask_clarify,can you please explain more on last sentence to me
ask_clarify,can you please explain more on what you've said to me
ask_clarify,can you please further clarify me about it
ask_clarify,can you please further clarify me about your answer
ask_clarify,can you please further elaborate
ask_clarify,can you please further elaborate what you just said
ask_clarify,can you please further elaborate your response
ask_clarify,can you please further explain me about that
ask_clarify,can you please rephrase further
ask_clarify,can you please rephrase it further to me
ask_clarify,can you please rephrase me further on your response
ask_clarify,can you please rephrase more on what you have said
ask_clarify,can you please rephrase this further
ask_clarify,can you rephrase me further on that
ask_clarify,can you rephrase me further on your words please
ask_clarify,can you rephrase me more on the last sentence please
ask_clarify,can you rephrase me on last sentence again
ask_clarify,can you rephrase me on your answers further
ask_clarify,can you rephrase once again please
ask_clarify,can't get what you said now
ask_clarify,can't get what you've just said
ask_clarify,can't understand that
ask_clarify,can't understand your words
ask_clarify,clarify further on that to me please
ask_clarify,clarify further on your response
ask_clarify,clarify last sentence once again to me please
ask_clarify,clarify me about that once again
ask_clarify,clarify me about what you've just said once again please
ask_clarify,clarify me further on last sentence please
ask_clarify,clarify me further on that please
ask_clarify,clarify me further on what you have said
ask_clarify,clarify me on last sentence again please
ask_clarify,clarify me on that further please
ask_clarify,clarify me on your answers again please
ask_clarify,clarify more on the last sentence please
ask_clarify,clarify more on your answers please
ask_clarify,clarify once again to me please
ask_clarify,clarify what you have said once again to me please
ask_clarify,could not get that
ask_clarify,could not get what you have said
ask_clarify,could not get what you've said
ask_clarify,could not get your answer
ask_clarify,could not get your answers
ask_clarify,could not understand it
ask_clarify,could not understand that
ask_clarify,could not understand your answers
ask_clarify,could not understand your words
ask_clarify,could you again elaborate me on that
ask_clarify,could you again elaborate me on your answers please
ask_clarify,could you again rephrase me about your words
ask_clarify,could you clarify further on what you said now to me please
ask_clarify,could you clarify me further on that please
ask_clarify,could you clarify me more on what you have said please
ask_clarify,could you clarify me on it further
ask_clarify,could you clarify me on this once again please
ask_clarify,could you clarify me on your response once again
ask_clarify,could you elaborate further on your answers to me
ask_clarify,could you elaborate me about that further please
ask_clarify,could you elaborate me further on this please
ask_clarify,could you elaborate me more on your response please
ask_clarify,could you elaborate more on it please
ask_clarify,could you elaborate more on what you said to me please
ask_clarify,could you explain further on that please
ask_clarify,could you explain further on what you just said now to me
ask_clarify,could you explain me about the last sentence again please
ask_clarify,could you explain me about your answer again
ask_clarify,could you explain me further on your answers please
ask_clarify,could you further clarify me about it please
ask_clarify,could you further clarify what you have said to me please
ask_clarify,could you further rephrase me on this please
ask_clarify,could you once again clarify me on last sentence please
ask_clarify,could you once again rephrase me about your answers
ask_clarify,could you please again clarify what you have just said
ask_clarify,could you please again clarify your answer to me
ask_clarify,could you please again rephrase me about what you said now
ask_clarify,could you please clarify me about what you've just said once again
ask_clarify,could you please elaborate me further on your answers
ask_clarify,could you please elaborate me on this further
ask_clarify,could you please elaborate your response once again
ask_clarify,could you please explain again to me
ask_clarify,could you please further elaborate me about what you have just said
ask_clarify,could you please further explain
ask_clarify,could you please once again elaborate me about your words
ask_clarify,could you please once again elaborate to me
ask_clarify,could you please rephrase me about last sentence further
ask_clarify,could you please rephrase me further on that
ask_clarify,could you please rephrase me further on your answers
ask_clarify,could you please rephrase me more on what you said
ask_clarify,could you please rephrase more on what you've just said
ask_clarify,could you rephrase again to me please
ask_clarify,could you rephrase further on what you have said to me please
ask_clarify,could you rephrase me about this further please
ask_clarify,could you rephrase me about your response again please
ask_clarify,could you rephrase me on your words further please
ask_clarify,could you rephrase that further to me
ask_clarify,couldn't get that
ask_clarify,couldn't get what you said now
ask_clarify,couldn't understand this
ask_clarify,couldn't understand what you just said now
ask_clarify,couldn't understand your answers
